optimizer,epoch,fold,train_loss,train_acc,val_loss,val_acc,training_time
Adam,0,2.0,0.027028944718341004,74.34791666666666,0.02599674981633816,80.62333333333333,4.40875210762024
Adam,1,2.0,0.02565513338098918,82.24041666666668,0.025596008727947817,82.99833333333333,4.426002311706543
Adam,2,2.0,0.025284913415710104,84.52666666666667,0.02530523818929984,84.745,4.457108354568481
Adam,3,2.0,0.024967566615343058,86.50375,0.0250830432593822,86.135,4.403712177276612
Adam,4,2.0,0.02478432157983378,87.63166666666666,0.0249840678254763,86.73833333333333,4.423877191543579
Adam,5,2.0,0.024651603596905842,88.44500000000001,0.024857099892695682,87.53,4.413254690170288
Adam,6,2.0,0.02452547143002346,89.26666666666667,0.02476740371982254,88.11500000000001,4.4336066246032715
Adam,7,2.0,0.02443801033198826,89.79749999999999,0.024699164229631383,88.47666666666666,4.4312926769256595
Adam,8,2.0,0.02437401202172036,90.18541666666667,0.02471060800154998,88.375,4.396145486831665
Adam,9,2.0,0.02432576448768372,90.47583333333334,0.02465596311092372,88.75333333333333,4.371897983551025
Adam,10,2.0,0.024273078142603217,90.79083333333332,0.024590351649125382,89.175,4.434557580947876
Adam,11,2.0,0.024219659284750582,91.14125,0.0246292755981286,88.87,4.409632778167724
Adam,12,2.0,0.024175259011983818,91.41791666666666,0.02452812502781544,89.53333333333333,4.416760540008545
Adam,13,2.0,0.02412435753146802,91.75041666666668,0.0245446070313453,89.40666666666667,4.457174253463745
Adam,14,2.0,0.024095783766110702,91.91541666666666,0.02455181585152938,89.39,4.410801935195923
AdamW,0,2.0,0.026911397840579297,75.08666666666667,0.025958607361713997,80.78,4.906592941284179
AdamW,1,2.0,0.02550248650511102,83.22666666666666,0.025439297312498062,83.89500000000001,4.8916669368743895
AdamW,2,2.0,0.025104143924514398,85.6875,0.02517076070109998,85.59333333333333,4.970087051391602
AdamW,3,2.0,0.02485650843282538,87.23208333333334,0.02499159338076906,86.70333333333333,5.086064100265503
AdamW,4,2.0,0.02465632361223294,88.47166666666666,0.02476718277732526,88.14500000000001,4.907187747955322
AdamW,5,2.0,0.02441558229277528,90.01124999999999,0.02459675202369686,89.22833333333334,4.886572265625
AdamW,6,2.0,0.02430886995742714,90.67125,0.02453098225792244,89.65833333333333,4.889385223388672
AdamW,7,2.0,0.02422513045370576,91.18125,0.024525506144762,89.6,4.888425827026367
AdamW,8,2.0,0.0241676436796784,91.55541666666667,0.0244672780712445,90.0,4.92180495262146
AdamW,9,2.0,0.024109946344296102,91.90166666666667,0.02445157282352442,90.06,4.886324214935303
AdamW,10,2.0,0.02407070825298622,92.13833333333332,0.02441693921685214,90.28,4.883763408660888
AdamW,11,2.0,0.024030330163240382,92.40458333333332,0.02440382042725876,90.38333333333333,4.853751277923584
AdamW,12,2.0,0.02398753993809218,92.66583333333332,0.0243938386559486,90.41666666666667,4.939547204971314
AdamW,13,2.0,0.02396127351621784,92.82916666666668,0.02430648599267,90.97833333333332,4.897859382629394
AdamW,14,2.0,0.023921526828904898,93.08958333333334,0.02427948363423344,91.135,4.892333269119263
RMSprop,0,2.0,0.02917594325542444,65.03125,0.027666233547528542,72.43833333333333,4.2409827709198
RMSprop,1,2.0,0.0270346775869528,75.41541666666667,0.026787321811914382,76.84166666666667,4.214403343200684
RMSprop,2,2.0,0.026475512655576038,78.27166666666668,0.02637775660951926,79.16499999999999,4.199676418304444
RMSprop,3,2.0,0.026156762640674857,80.00583333333334,0.02620714213450744,79.87833333333333,4.1656513690948485
RMSprop,4,2.0,0.02599402602215602,80.78791666666666,0.02608567898472146,80.405,4.219212484359741
RMSprop,5,2.0,0.025872705671191144,81.4425,0.026001442138353942,80.86666666666666,4.163475847244262
RMSprop,6,2.0,0.02577290509641166,82.03416666666666,0.02591953981717422,81.36,4.1700774192810055
RMSprop,7,2.0,0.02568576195140676,82.51416666666667,0.025846406732002843,81.745,4.200729608535767
RMSprop,8,2.0,0.025604004018008657,83.0,0.02579522774616872,82.03166666666667,4.160419034957886
RMSprop,9,2.0,0.025526327751080158,83.46875,0.0257193150957425,82.46000000000001,4.160735654830932
RMSprop,10,2.0,0.02544707876443856,83.96916666666667,0.025650432471434198,82.89500000000001,4.209470605850219
RMSprop,11,2.0,0.02537472961296632,84.40083333333334,0.02559722166657442,83.17999999999999,4.1378007411956785
RMSprop,12,2.0,0.025307830863694303,84.81083333333333,0.025534690970182378,83.60666666666665,4.129868888854981
RMSprop,13,2.0,0.02524430449008936,85.22125000000001,0.02548508586287494,83.87833333333333,4.168303298950195
RMSprop,14,2.0,0.025175832935174242,85.64666666666668,0.025420167764027862,84.31333333333333,4.168833208084107
