fold,epoch,train_loss,train_acc,val_loss,val_acc,training_time,optimizer,hp_search
0,0,0.029147686089078584,65.12291666666667,0.027558550059795378,74.05833333333334,7.2526068687438965,RMSprop,grid_search
0,1,0.026799017215768495,77.82083333333334,0.026555700023969016,78.725,6.139894008636475,RMSprop,grid_search
1,0,0.029564818094174068,61.24375,0.028312867055336633,67.525,6.054221153259277,RMSprop,grid_search
1,1,0.02738211078941822,73.30833333333334,0.02673708302776019,78.06666666666666,6.198545932769775,RMSprop,grid_search
2,0,0.02992367989818255,58.766666666666666,0.028548605342706045,66.425,6.351493835449219,RMSprop,grid_search
2,1,0.028037851961950463,68.29375,0.028005262563625972,68.58333333333333,5.956879138946533,RMSprop,grid_search
3,0,0.029952770213286083,58.18125,0.02853825634717941,66.55,6.361955165863037,RMSprop,grid_search
3,1,0.02775284734616677,70.84583333333333,0.027222603261470794,74.34166666666667,6.236167907714844,RMSprop,grid_search
4,0,0.029169553915659587,65.01458333333333,0.027595986813306807,73.06666666666666,6.026488780975342,RMSprop,grid_search
4,1,0.026908266678452492,76.41875,0.02656263202428818,78.9,6.075135946273804,RMSprop,grid_search
0,0,0.02758891007055839,70.47083333333333,0.02587309397260348,81.33333333333333,6.71466588973999,Adam,grid_search
0,1,0.02551092805713415,83.19375,0.0255032559633255,83.64166666666667,6.817457914352417,Adam,grid_search
1,0,0.026810409473876157,75.575,0.02559768533706665,83.25,6.5408501625061035,Adam,grid_search
1,1,0.02524410596738259,84.975,0.025064308444658914,86.60833333333333,6.569871664047241,Adam,grid_search
2,0,0.02726558996240298,72.7,0.02555777883529663,83.48333333333333,6.42838191986084,Adam,grid_search
2,1,0.02527614862223466,84.75416666666666,0.02513006846110026,86.1,6.582062721252441,Adam,grid_search
3,0,0.027436910395820937,71.56458333333333,0.025983733584483464,80.83333333333333,6.396031856536865,Adam,grid_search
3,1,0.025637716546654702,82.29791666666667,0.025453840116659802,83.86666666666666,6.439226150512695,Adam,grid_search
4,0,0.026736103758215904,76.34166666666667,0.0259011450111866,81.26666666666667,6.411190032958984,Adam,grid_search
4,1,0.025495455078780652,83.25208333333333,0.02573188085357348,82.15,6.394551992416382,Adam,grid_search
0,0,0.027268515018125376,72.575,0.026702773203452428,76.025,6.631143808364868,AdamW,grid_search
0,1,0.02602103334416946,79.88958333333333,0.0256169703801473,82.925,6.653403997421265,AdamW,grid_search
1,0,0.027418699488043784,71.5625,0.02660660805304845,76.50833333333334,9.443456172943115,AdamW,grid_search
1,1,0.025643857496480148,82.40625,0.025550504038731256,83.30833333333334,6.739355802536011,AdamW,grid_search
2,0,0.026979035365084808,74.76458333333333,0.025735898395379386,82.14166666666667,6.663218975067139,AdamW,grid_search
2,1,0.02548064024746418,83.35833333333333,0.025493015160163245,83.64166666666667,8.485740184783936,AdamW,grid_search
3,0,0.02678580349435409,75.875,0.025575343370437622,83.43333333333334,6.920032978057861,AdamW,grid_search
3,1,0.025278805774947007,84.71041666666666,0.02496958793203036,87.08333333333333,7.098337173461914,AdamW,grid_search
4,0,0.026723542196055255,76.41666666666667,0.0258845232129097,81.26666666666667,7.116400241851807,AdamW,grid_search
4,1,0.025335002293189367,84.31458333333333,0.02513248993953069,85.85833333333333,6.670068979263306,AdamW,grid_search
